TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-130328-2025","2025-12-19 12:17:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SUFOUH GARDENS","Unit","Hotel Apartment","3229421","123.32","123.32","2 B/R","1","Dubai Internet City","Mall of the Emirates","Burj Al Arab","0","0","","Biltmore Sufouh"
"102-130329-2025","2025-12-19 12:17:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Unit","Flat","1056000","67.12","67.12","1 B/R","1","","","","0","0","","DAMAC RIVERSIDE VIEWS - AZURE 2"
"102-130330-2025","2025-12-19 12:18:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","5287828","163.45","163.45","3 B/R","2","","","","0","0","","ELLINGTON SANDS I"
"102-130331-2025","2025-12-19 12:20:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Unit","Flat","764000","43.48","43.48","Studio","1","","","","0","0","","DAMAC RIVERSIDE VIEWS - AZURE 2"
"102-130332-2025","2025-12-19 12:20:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1944000","77.57","77.57","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyhall"
"102-130333-2025","2025-12-19 12:20:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1552999","115.55","115.55","2 B/R","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130334-2025","2025-12-19 12:24:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1048117","78.14","78.14","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","311 Boulevard by Bam Eskan"
"102-130335-2025","2025-12-19 12:26:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1360000","73.03","73.03","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","PARK LANE 2 BY HEILBRONN"
"102-130336-2025","2025-12-19 12:28:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2281828","74.7","74.7","1 B/R","1","","","","0","0","","ELLINGTON SANDS I"
"102-130337-2025","2025-12-19 12:29:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1002460","46","46","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","SAAS Hills"
"102-130338-2025","2025-12-19 12:32:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","851777","39.19","39.19","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","butterfly"
